港澳台测试,#genre#
鳳凰衛視中文台,http://192.168.31.1/iptv.php?tid=wintv123&id=0&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
鳳凰衛視資訊台,http://192.168.31.1/iptv.php?tid=wintv123&id=1&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
鳳凰香港台,http://192.168.31.1/iptv.php?tid=wintv123&id=2&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
香港有線新聞台,http://192.168.31.1/iptv.php?tid=wintv123&id=3&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
香港有線18台,http://192.168.31.1/iptv.php?tid=wintv123&id=4&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
香港有線高清603台,http://192.168.31.1/iptv.php?tid=wintv123&id=5&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
TVB無線新聞台,http://192.168.31.1/iptv.php?tid=wintv123&id=6&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
TVB財經體育資訊台,http://192.168.31.1/iptv.php?tid=wintv123&id=7&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
TVB財經體育資訊台(備),http://192.168.31.1/iptv.php?tid=wintv123&id=8&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
TVB翡翠台,http://192.168.31.1/iptv.php?tid=wintv123&id=9&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
TVB翡翠台(備),http://192.168.31.1/iptv.php?tid=wintv123&id=10&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
TVB明珠台,http://192.168.31.1/iptv.php?tid=wintv123&id=11&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
TVB J2,http://192.168.31.1/iptv.php?tid=wintv123&id=12&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
ViuTV,http://192.168.31.1/iptv.php?tid=wintv123&id=13&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
ViuTV6,http://192.168.31.1/iptv.php?tid=wintv123&id=14&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
NOW新聞台,http://192.168.31.1/iptv.php?tid=wintv123&id=15&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
香港國際財經台,http://192.168.31.1/iptv.php?tid=wintv123&id=16&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
HOY TV,http://192.168.31.1/iptv.php?tid=wintv123&id=17&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
HOY資訊台,http://192.168.31.1/iptv.php?tid=wintv123&id=18&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
港台電視31,http://192.168.31.1/iptv.php?tid=wintv123&id=19&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
港台電視32,http://192.168.31.1/iptv.php?tid=wintv123&id=20&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
中天新聞台,http://192.168.31.1/iptv.php?tid=wintv123&id=21&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
東森新聞台,http://192.168.31.1/iptv.php?tid=wintv123&id=22&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
東森財經新聞台,http://192.168.31.1/iptv.php?tid=wintv123&id=23&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
寰宇新聞台,http://192.168.31.1/iptv.php?tid=wintv123&id=24&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
台視新聞台,http://192.168.31.1/iptv.php?tid=wintv123&id=25&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
中視新聞台,http://192.168.31.1/iptv.php?tid=wintv123&id=26&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
華視新聞台,http://192.168.31.1/iptv.php?tid=wintv123&id=27&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
TVBS新聞台,http://192.168.31.1/iptv.php?tid=wintv123&id=28&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
三立新聞台,http://192.168.31.1/iptv.php?tid=wintv123&id=29&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
三立iNEWS,http://192.168.31.1/iptv.php?tid=wintv123&id=30&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
鏡電視新聞台,http://192.168.31.1/iptv.php?tid=wintv123&id=31&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
民視新聞台,http://192.168.31.1/iptv.php?tid=wintv123&id=32&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
民視,http://192.168.31.1/iptv.php?tid=wintv123&id=33&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
台視,http://192.168.31.1/iptv.php?tid=wintv123&id=34&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
中視,http://192.168.31.1/iptv.php?tid=wintv123&id=35&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
華視,http://192.168.31.1/iptv.php?tid=wintv123&id=36&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
TVBS HD,http://192.168.31.1/iptv.php?tid=wintv123&id=37&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
TVBS歡樂台,http://192.168.31.1/iptv.php?tid=wintv123&id=38&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
三立台灣台,http://192.168.31.1/iptv.php?tid=wintv123&id=39&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
三立都會台,http://192.168.31.1/iptv.php?tid=wintv123&id=40&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
中天亞洲台,http://192.168.31.1/iptv.php?tid=wintv123&id=41&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
緯來體育台,http://192.168.31.1/iptv.php?tid=wintv123&id=42&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
緯來日本台,http://192.168.31.1/iptv.php?tid=wintv123&id=43&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
緯來育樂台,http://192.168.31.1/iptv.php?tid=wintv123&id=44&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
ELEVEN 1,http://192.168.31.1/iptv.php?tid=wintv123&id=45&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
ELEVEN 2,http://192.168.31.1/iptv.php?tid=wintv123&id=46&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
愛爾達體育1台,http://192.168.31.1/iptv.php?tid=wintv123&id=47&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
愛爾達體育2台,http://192.168.31.1/iptv.php?tid=wintv123&id=48&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
愛爾達體育3台,http://192.168.31.1/iptv.php?tid=wintv123&id=49&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
大愛一台,http://192.168.31.1/iptv.php?tid=wintv123&id=50&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
大愛二台,http://192.168.31.1/iptv.php?tid=wintv123&id=51&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
MOMO綜合台,http://192.168.31.1/iptv.php?tid=wintv123&id=52&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
東森超視,http://192.168.31.1/iptv.php?tid=wintv123&id=53&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
澳門蓮花,http://192.168.31.1/iptv.php?tid=wintv123&id=54&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CNN新聞頻道,http://192.168.31.1/iptv.php?tid=wintv123&id=55&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
TVB翡翠台(IPv6),http://192.168.31.1/iptv.php?tid=wintv123&id=56&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D

谷豆IPTV,#genre#
﻿CCTV4K,http://192.168.31.1/iptv.php?tid=gdutv&id=0&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
CCTV16-4K,http://192.168.31.1/iptv.php?tid=gdutv&id=1&token=FzElHzgrERwYBwtgMD97AwVaRHs%3D
